Registration Type,Corporation Name,Trade Name,Business Address,Business Address2,City,State,Zip,Phone Number,# ASE Certified Mechanics,Tow Storage Address ,Tow Storage 2,Tow Storage City,Tow Storage State,Tow Storage Zip,Tow Storage Phone,Issue Date,Expiration,Registration No.,Location
Corporation,"Darnestown Liberty, LLC",Darnestown Liberty,12175 Darnestown Road,,Gaithersburg,MD,20878,(301) 355-4795,0,,,,,,,01/26/2025,01/26/2028,24-MT-013901,"12175 Darnestown Road
Gaithersburg, MD 20878
(39.11804, -77.25196)"
Corporation,"EERC, Inc.",A-1 AUTO,925 University Blvd East,,Silver Spring,MD,20903,(301) 793-6887,0,,,,,,,01/05/2025,01/05/2028,08-MT-000092,"925 University Blvd East
Silver Spring, MD 20903
(38.99214, -76.9907)"
Corporation,Autotow LLC,Autotow,1715 Staley Manor Dr,,Silver Spring,MD,20904,(240) 863-5940,0,1715 Staley Manor Dr,,Silver Spring,MD,20904,(240) 347-5007,12/06/2024,12/06/2025,17-MT-001470,"1715 Staley Manor Dr
Silver Spring, MD 20904
(39.06273, -76.97168)"
Partnership,,"Mechanics on Wheelz, LLC",10056 Hutzell Street,,Ijamsville,Maryland,21754,(301) 418-0496,1,,,,,,,10/14/2023,10/14/2026,22-MT-013286,"10056 Hutzell Street
Ijamsville, Maryland 21754
(39.396614013, -77.316872961)"
Corporation,"Pro Auto Services, Inc.",Pro Auto Services,8216 Piney Branch Road,,Silver Spring,MD,20910,(301) 585-7147,0,,,,,,,10/02/2023,10/02/2026,17-MT-000616,"8216 Piney Branch Road
Silver Spring, MD 20910
(38.993459013, -77.009590965)"
Corporation,"SGSC, LLC",McCurry's Shady Grove Service Center,15872 Redland Road,,Derwood,MD,20855,(301) 926-7727,0,,,,,,,08/31/2023,08/31/2026,17-MT-001462,"15872 Redland Road
Derwood, MD 20855
(39.117148998, -77.165281967)"
Corporation,"College Plaza, LLC",Charles Automotive,12122 Nebel Street,,Rockville,MD,20852,(301) 468-8899,0,,,,,,,10/13/2023,10/13/2026,17-MT-001643,"12122 Nebel Street
Rockville, MD 20852
(39.051240793, -77.109782825)"
Corporation,"Authorized Towing, LLC",Authorized Towing,14514 Southlawn Lane,,Rockville,MD,20850,(301) 562-4020,0,8011 Beechcraft Avenue,,Gaithersburg,MD,20879,(301) 562-4020,10/23/2022,10/23/2025,15-MT-001389,"14514 Southlawn Lane
Rockville, MD 20850
(39.094460079, -77.141348533)"
Corporation,"Flex Automotive, Inc.",Flex Automotive,22A West Diamond Avenue,,Gaithersburg,MD,20877,(301) 869-9302,0,,,,,,,08/10/2023,08/10/2026,17-MT-001638,"22A West Diamond Avenue
Gaithersburg, MD 20877
(39.141428019, -77.200138027)"
Corporation,Car Source Collision Center Inc,Car Source Collision Center,8202 Beechcraft Ave,,Gaithersburg,MD,20879,(301) 346-3368,0,,,,,,,03/14/2025,03/14/2028,24-MT-013960,"8202 Beechcraft Ave
Gaithersburg, MD 20879
(39.16653, -77.16746)"
Corporation,United Auto Repair LLC,United Auto Repair,7410 Westmore Road,Unit F,Rockville,MD,20850,(301) 417-4890,0,,,,,,,08/24/2023,08/24/2024,18-MT-002234,"7410 Westmore Road
Rockville, MD 20850
(39.098658016, -77.15180898)"
Corporation,Corellia Shipyard LLC,CarCare to Go,1460 Rockville Pike,,Rockville,MD,20852,(301) 985-2411,0,,,,,,,08/21/2023,08/21/2024,23-MT-013693,"1460 Rockville Pike
Rockville, MD 20852
(39.066425995, -77.126527986)"
Corporation,One Stop Automotive Inc,One Stop Automotive Inc,5110 River Road,,Bethesda,MD,20816,(301) 656-2009,1,,,,,,,03/28/2024,03/28/2025,24-MT-013973,"5110 River Road
Bethesda, MD 20816
(38.963436, -77.102133966)"
Corporation,Bill Hamm's Car Care Center Inc.,Bill Hamm's Car Care Center,7406 Westmore Road,Bay J & K,Rockville,MD,20850,(301) 294-9155,0,,,,,,,03/01/2024,03/01/2025,23-MT-013480,"7406 Westmore Road
Rockville, MD 20850
(39.098658016, -77.15180898)"
Corporation,ED's Towing and Cars Services LLC,ED's Cars Services,4100 Aspen Hill Rd,,Rockville,MD,20853,(301) 404-3603,1,,,,,,,01/16/2025,01/16/2028,19-MT-002889,"4100 Aspen Hill Rd
Rockville, MD 20853
(39.07982, -77.08126)"
Partnership,,Universal Auto Repair,,,,,,,0,,,,,,,10/20/1998,03/19/1999,98-MT-000541,
Corporation,"Anbar, Inc.",Glen Echo Exxon,6729 Goldsboro Road,,Bethesda,MD,20817,(301) 229-8666,1,,,,,,,04/27/2024,04/27/2027,18-MT-000852,"6729 Goldsboro Road
Bethesda, MD 20817
(38.96921901, -77.138485022)"
Corporation,"Lindsay Ford, LLC",Lindsay Ford of Wheaton,11250 Veirs Mill Rd,,Wheaton,MD,20902,(240) 283-3797,0,,,,,,,07/07/2024,07/07/2027,22-MT-013178,"11250 Veirs Mill Rd
Wheaton, MD 20902
(39.040514011, -77.057281983)"
Corporation,Rockville Auto Specialist LLC,Rockville Auto Specialist,15730 Shady Grove Road,,Gaithersburg,MD,20877,(301) 948-8887,0,,,,,,,05/01/2024,05/01/2027,17-MT-001604,"15730 Shady Grove Road
Gaithersburg, MD 20877
(39.114001006, -77.186826978)"
Corporation,"Newtown Auto Body, Inc.",Newtown Auto Body,7404 Westmore Road,Ste D,Rockville,MD,20850,(301) 424-8318,0,,,,,,,03/18/2024,03/18/2025,15-MT-000127,"7404 Westmore Road
Rockville, MD 20850
(39.098658016, -77.15180898)"
Corporation,"AT Automotive, Inc.",A & S Auto Service Center,3831 Plyers Mill Road,Unit G,Kensington,MD,20895,(301) 526-4380,0,,,,,,,03/20/2024,03/20/2027,17-MT-002016,"3831 Plyers Mill Road
Kensington, MD 20895
(39.030231009, -77.076681981)"
Corporation,"Han's Auto Center, Inc.",Hans Auto Center,8509 Citation Drive,,Gaithersburg,MD,20877,(301) 977-4484,0,,,,,,,04/22/2024,04/22/2027,23-MT-013578,"8509 Citation Drive
Gaithersburg, MD 20877
(39.132108429, -77.1753617)"
Corporation,HOTH LLC,Ourisman Kia of Bethesda,5435 Butler Road,,Bethesda,MD,20816,(301) 691-4077,0,,,,,,,03/14/2024,03/14/2025,24-MT-013959,"5435 Butler Road
Bethesda, MD 20816
(38.962562982, -77.102003962)"
Corporation,"Sheehy Ford of Gaithersburg, L.C.",Sheehy Ford of Gaithersburg,901 N Frederick Avenue,,Gaithersburg,MD,20879,(301) 258-1015,25,,,,,,,03/20/2024,03/20/2027,16-MT-000535,"901 N Frederick Avenue
Gaithersburg, MD 20879
(39.156866017, -77.215849989)"
Corporation,"BS Automotive, LLC",White Flint Auto Repair,11748 Parklawn Drive,,Rockville,MD,20852,(301) 984-3902,0,,,,,,,04/26/2024,04/26/2027,21-MT-011939,"11748 Parklawn Drive
Rockville, MD 20852
(39.049020256, -77.102300751)"
Corporation,Alexander Lieb Incorporated,Scandinavian Import Servicenter,285 Derwood Circle,,Rockville,MD,20850,(301) 340-7222,1,,,,,,,04/21/2024,04/21/2027,18-MT-000372,"285 Derwood Circle
Rockville, MD 20850
(39.10550402, -77.154681039)"
Corporation,Koons of Silver Spring Inc.,Koons of Silver Spring,3111 Automobile Blvd,,Silver Spring,MD,20904,(301) 890-6100,0,,,,,,,01/10/2025,01/10/2026,25-MT-014312,"3111 Automobile Blvd
Silver Spring, MD 20904
(39.07971, -76.94916)"
Corporation,"Fourcade Transmissions, Inc.",Fourcade Transmissions,8100 Beechcraft Ave,D,Gaithersburg,MD,20879,(301) 963-9841,0,,,,,,,12/20/2024,12/20/2027,15-MT-001144,"8100 Beechcraft Ave
Gaithersburg, MD 20879
(39.16487, -77.16564)"
Corporation,Alex Auto Repairs LLC,Alex Auto Repairs LLC,423 Dover Road,,Rockville,MD,20850,(301) 750-4133,0,,,,,,,01/24/2025,01/24/2026,25-MT-014350,"423 Dover Road
Rockville, MD 20850
(39.09646, -77.14315)"
Corporation,SpeedTuning LLC,SpeedTuning LLC,2203 Spencerville Rd,,Spencerville,MD,20868,(240) 463-4759,0,,,,,,,01/06/2025,01/06/2026,20-MT-006455,"2203 Spencerville Rd
Spencerville, MD 20868
(39.11612, -76.96632)"
Corporation,"Ultimate Motor Works, Inc.",Ultimate Auto Works,1830 Chapman Avenue,,Rockville,MD,20852,(301) 770-1800,0,,,,,,,10/18/2023,10/18/2026,17-MT-000376,"1830 Chapman Avenue
Rockville, MD 20852
(39.060515998, -77.119928998)"
Corporation,"Castillo's Automotive, LLC",Castillo's Automotive,7410 Westmore Road,Gate G,Rockville,MD,20850,(301) 252-8578,0,,,,,,,03/13/2025,03/13/2028,16-MT-001732,"7410 Westmore Road
Rockville, MD 20850
(39.09886, -77.15161)"
Corporation,"M & D Auto Body, Inc.",M & D Auto Body,926 Sligo Avenue,,Silver Spring,MD,20910-4704,(301) 588-3880,0,,,,,,,11/24/2023,11/24/2026,17-MT-000032,"926 Sligo Avenue
Silver Spring, MD 20910-4704
(38.989986013, -77.02483002)"
Corporation,BMV Service LLC,BMV Service,70 Cessna Ct,,Gaithersburg,MD,20879,(443) 655-8519,0,,,,,,,01/14/2025,01/14/2026,25-MT-014320,"70 Cessna Ct
Gaithersburg, MD 20879
(39.17315, -77.16152)"
Corporation,"Auto Calibration Services, INC","Auto Calibration Services, INC",277 Derwood Circle,,Rockville,MD,20850,(703) 509-5444,1,277 Derwood Circle,,Rockville,MD,20850,(703) 509-5444,09/11/2023,09/11/2024,23-MT-013689,"277 Derwood Circle
Rockville, MD 20850
(39.106009993, -77.153932032)"
Sole Proprietorship,,"Dave Ward's Towing, Silver Spring Towing Truck",3515 Greenly Street,,Silver Spring,MD,20906,(301) 547-9781,0,9200 TALBOT AVENUE,,SILVER SPRING,MD,20906,(301) 588-5292,10/19/2023,10/19/2026,17-MT-002173,"3515 Greenly Street
Silver Spring, MD 20906
(39.062365004, -77.070111994)"
Sole Proprietorship,,D & L Towing,905 Jackson Road,,Silver Spring,MD,20904,(240) 508-6989,0,905 Jackson Road,,Silver Spring,MD,20904,(240) 508-6989,09/23/2023,09/23/2026,16-MT-001754,"905 Jackson Road
Silver Spring, MD 20904
(39.05557801, -76.991957034)"
Corporation,"Maximum Dent Repair, L.L.C.","Maximum Dent Repair, L.L.C.",4 Big Acre sq,,Gaithersburg,MD,20878,(240) 422-9692,0,,,,,,,01/06/2025,01/06/2026,20-MT-004120,"4 Big Acre sq
Gaithersburg, MD 20878
(39.11795, -77.21476)"
Sole Proprietorship,,Eley Antar,9 Cedar Avenue,,Gaithersburg,MD,20877,(240) 899-6222,0,,,,,,,03/01/2025,03/01/2028,20-MT-004015,"9 Cedar Avenue
Gaithersburg, MD 20877
(39.1391, -77.19716)"
Corporation,Pegasus Towing & Transport LLC,Pegasus Towing &Transport LLC,3908 Joliet St,,Silver Spring,MD,20906,(202) 938-8091,0,3908 Joliet St,,Silver Spring,MD,20906,(202) 938-8086,01/23/2025,01/23/2026,25-MT-014322,"3908 Joliet St
Silver Spring, MD 20906
(39.06578, -77.07755)"
Corporation,"Superior Auto Service, Inc.",Superior Auto Service,12298 Wilkins Avenue,,Rockville,MD,20852,(301) 770-6662,1,,,,,,,09/08/2023,09/08/2024,20-MT-006424,"12298 Wilkins Avenue
Rockville, MD 20852
(39.057586984, -77.113680037)"
Corporation,Southlawn Auto Service Inc.,Southlawn Auto Service Inc.,14640 Southlawn Lane,Unit B,Rockville,MD,20850,(301) 728-8755,0,14640 Southlawn Lane,Unit B,Rockville,MD,20850,(301) 728-8755,02/10/2025,02/10/2028,16-MT-001781,"14640 Southlawn Lane
Rockville, MD 20850
(39.09544, -77.14033)"
Corporation,Star Petro Inc,Star Petro Inc,15541 New Hampshire Ave,,Silver Spring,MD,20905,(301) 989-8760,0,,,,,,,01/16/2025,01/16/2026,25-MT-014336,"15541 New Hampshire Ave
Silver Spring, MD 20905
(39.1114, -76.99485)"
Sole Proprietorship,,T.A.G. Motor Werks,7851 Beechcraft Avenue,Suite H,Gaithersburg,MD,20879,(301) 258-0859,0,,,,,,,02/22/2024,02/22/2027,18-MT-000035,"7851 Beechcraft Avenue
Gaithersburg, MD 20879
(39.163076002, -77.16003104)"
Corporation,"BAS, INC.",Butler Automotive Service Center,14720 Southlawn Lane,,Rockville,MD,20850,(301) 762-3865,1,,,,,,,04/30/2024,04/30/2027,18-MT-000385,"14720 Southlawn Lane
Rockville, MD 20850
(39.097565016, -77.137960986)"
Corporation,"Ricky's Towing & Recovery, LLC","Ricky's Towing & Recovery, LLC",12114 DEWEY RD,,SILVER SPRING,MD,20906,(240) 461-9995,0,12114 PARAMOUNT DR,LOT C,DERWOOD,MD,20855,(240) 461-9995,03/12/2025,03/12/2028,18-MT-002226,"12114 DEWEY RD
SILVER SPRING, MD 20906
(39.05494, -77.0895)"
Corporation,"Sam's East, Inc.",Sam's Club #6653,610 N Frederick Ave,,Gaithersburg,MD,20877,(301) 216-2550,0,,,,,,,01/28/2025,01/28/2028,16-MT-000502,"610 N Frederick Ave
Gaithersburg, MD 20877
(39.15101, -77.21181)"
Corporation,"Automotive Support Services, Inc.",Automotive Support Services,14618 Old Gunpowder Road,,Laurel,MD,21723,(301) 384-4869,0,14618 Old Gunpowder Road,,Laurel,MD,20707,(301) 384-4869,02/28/2025,02/28/2028,18-MT-000686,"14618 Old Gunpowder Road
Laurel, MD 21723
(39.09203, -76.91501)"
Partnership,,"Best Buy Stores, L.P.",1200 Rockville Pike,,Rockville,MD,20852,(301) 984-1479,0,,,,,,,02/23/2025,02/23/2028,24-MT-013937,"1200 Rockville Pike
Rockville, MD 20852
(39.06951, -77.13016)"
Corporation,"Darcars of Rockville, Inc.",Darcars Volvo Polestar,15401 Frederick Road,,Rockville,MD,20855,(240) 571-3542,1,,,,,,,02/02/2025,02/02/2028,22-MT-013378,"15401 Frederick Road
Rockville, MD 20855
(39.10882, -77.15892)"
Corporation,"Criswell Performance Cars, Inc",Criswell Chrysler Jeep Dodge,84 Bureau Drive,,Gaithersburg,MD,20878,(301) 212-4400,0,,,,,,,01/27/2025,01/27/2026,16-MT-001240,"84 Bureau Drive
Gaithersburg, MD 20878
(39.14607, -77.2163)"
Corporation,J.I.M Automobile Repair LLC,J.I.M Automobile Repair LLC,535 Southlawn Ln,D2,Rockville,MD,20850,(240) 723-3555,0,,,,,,,01/06/2025,01/06/2026,20-MT-006393,"535 Southlawn Ln
Rockville, MD 20850
(39.09339, -77.14235)"
Corporation,"Certified Auto Repair, Inc.",Certified Auto Repair,202 Park Rd,STE C,Rockville,MD,20850,(301) 279-9451,0,,,,,,,01/25/2025,01/25/2028,20-MT-004014,"202 Park Rd
Rockville, MD 20850
(39.08613, -77.14636)"
Partnership,,"Best Buy Stores, L.P.",10901 Georgia Ave,,Wheaton,MD,20902,(301) 942-1877,0,,,,,,,02/23/2025,02/23/2028,24-MT-013938,"10901 Georgia Ave
Wheaton, MD 20902
(39.03505, -77.0491)"
Corporation,Do Work Automotive Limited Liability Company,Do Work Automotive,5040 Brookeville Rd,,Gaithersburg,MD,20882,(301) 275-0872,0,,,,,,,01/30/2025,01/30/2028,23-MT-013855,"5040 Brookeville Rd
Gaithersburg, MD 20882
(39.18342, -77.10219)"
Corporation,"Iranda, L.L.C.",Meineke Car Care Center #1235,9871 Main St,,Damascus,MD,20872,(301) 775-1811,0,,,,,,,01/09/2025,01/09/2026,17-MT-002135,"9871 Main St
Damascus, MD 20872
(39.28841, -77.20334)"
Corporation,KLO Companies,KLO Companies,1327 E Gude Drive,,Rockville,MD,20850,(301) 424-4410,0,,,,,,,12/08/2023,12/08/2026,22-MT-013379,"1327 E Gude Drive
Rockville, MD 20850
(39.096719995, -77.136249988)"
Sole Proprietorship,,Abdul Khan,7408 Westmore Road,O,Rockville,MD,20850,(240) 388-1759,0,,,,,,,10/25/2023,10/25/2024,23-MT-013787,"7408 Westmore Road
Rockville, MD 20850
(39.098658016, -77.15180898)"
Corporation,"Wheaton Muffler, Inc.",Midas Auto Service Experts,11340 Amherst Avenue,,Wheaton,MD,20902,(301) 933-1200,0,,,,,,,11/01/2023,11/01/2026,15-MT-000138,"11340 Amherst Avenue
Wheaton, MD 20902
(39.040702981, -77.048850962)"
Corporation,"Zips Auto Glass, Inc.","Zips Auto Glass, Inc.",5607 Kraft Drive,,Rockville,MD,20852,(240) 621-7073,2,,,,,,,02/27/2025,02/27/2028,16-MT-001950,"5607 Kraft Drive
Rockville, MD 20852
(39.05799, -77.11375)"
Corporation,"Piney Branch Auto Service, Inc.",Piney Branch Auto Service,8225 Piney Branch Road,,Silver Spring,MD,20910,(301) 431-1221,0,,,,,,,02/08/2025,02/08/2028,16-MT-000052,"8225 Piney Branch Road
Silver Spring, MD 20910
(38.99322, -77.00896)"
Corporation,"Quattro Auto Body, Inc.",Quattro Auto Body,4907 Elm Street,,Bethesda,MD,20814,(301) 652-4788,0,,,,,,,01/03/2025,01/03/2026,15-MT-001002,"4907 Elm Street
Bethesda, MD 20814
(38.98211, -77.09676)"
Corporation,"Kaufman's Auto Clinic, Inc.",Kaufman's Auto Clinic.,12271 Nebel St.,,Rockville,MD,20852,(301) 231-4991,0,,,,,,,02/23/2025,02/23/2028,18-MT-000459,"12271 Nebel St.
Rockville, MD 20852
(39.05176, -77.11013)"
Corporation,Montgomery Towing LLC,Montgomery Towing LLC,19304 Frenchton Pl,,Montgomery Village,MD,20886,(240) 780-6657,0,19304 Frenchton Pl,,Montgomery Village,MD,20886,(240) 780-6657,01/14/2025,01/14/2026,18-MT-002223,"19304 Frenchton Pl
Montgomery Village, MD 20886
(39.17315, -77.21565)"
Corporation,Auto Italia of Maryland Inc,Auto Italia,7200 Westmore Road,,Rockville,MD,20850,(301) 340-8394,0,,,,,,,10/19/2023,10/19/2026,20-MT-005286,"7200 Westmore Road
Rockville, MD 20850
(39.099387996, -77.148279025)"
Corporation,CYCLES OF SILVER SPRING LLC,CYCLES OF SILVER SPRING,8910 Brookville Road,,Silver Spring,MD,20910,(301) 589-2453,0,,,,,,,12/05/2023,12/05/2026,22-MT-013355,"8910 Brookville Road
Silver Spring, MD 20910
(39.00196698, -77.054030978)"
Corporation,"Bam Automotives, LLC",Bam Automotive,702 E GUDE DR,UNIT A,ROCKVILLE,MD,20850,(240) 383-0231,0,,,,,,,02/02/2024,02/02/2027,17-MT-002219,"702 E GUDE DR
ROCKVILLE, MD 20850
(39.103518012, -77.142173982)"
Corporation,"Fitzgerald's Lakeforest Motors, Inc.",Fitzgerald Toyota,951 N FREDERICK AVE,,GAITHERSBURG,MD,20879,(301) 670-7575,0,,,,,,,10/21/2023,10/21/2026,20-MT-006435,"951 N FREDERICK AVE
GAITHERSBURG, MD 20879
(39.157980014, -77.217115991)"
Corporation,GUILLEN AUTO REPAIR LLC,GUILLEN AUTO REPAIR,12521 Greenly Street,,Silver Spring,MD,20906,(301) 793-0860,0,,,,,,,10/25/2023,10/25/2026,19-MT-002835,"12521 Greenly Street
Silver Spring, MD 20906
(39.061373006, -77.078318967)"
Corporation,"MB Automotive Services, Inc.",MB Automotive Services,11874 Coakley Circle,,Rockville,MD,20852,(301) 881-8990,0,,,,,,,10/24/2023,10/24/2026,17-MT-001427,"11874 Coakley Circle
Rockville, MD 20852
(39.049460981, -77.104755993)"
Corporation,"Henry's Automotive, Inc.",Allen Automotive,2424 Linden Lane,,Silver Spring,MD,20910,(301) 587-6755,1,,,,,,,10/24/2023,10/24/2026,17-MT-001425,"2424 Linden Lane
Silver Spring, MD 20910
(39.009300014, -77.05187599)"
Corporation,"LFO, Inc.","Lakeforest Hyundai, Subaru of Gaithersbug",905 N Frederick Avenue,,Gaithersburg,MD,20879,(301) 670-4800,0,,,,,,,10/20/2023,10/20/2026,15-MT-000162,"905 N Frederick Avenue
Gaithersburg, MD 20879
(39.157098814, -77.217281929)"
Corporation,"Fitzgerald's Lakeforest Motors, Inc.",Lakeforest Toyota,18707 N Frederick Avenue,,Gaithersburg,MD,20879,(301) 921-0300,0,,,,,,,10/21/2023,10/21/2026,20-MT-006431,"18707 N Frederick Avenue
Gaithersburg, MD 20879
(39.163921987, -77.224059979)"
Corporation,MGA Auto Service LLC,MGA Auto Service,7546 Rikenbaker Way,,Gaithersburg,MD,20879,(240) 551-6689,0,,,,,,,10/18/2023,10/18/2024,23-MT-013774,"7546 Rikenbaker Way
Gaithersburg, MD 20879
(39.172346009, -77.155071971)"
Corporation,"Quality Car Services, Ltd.","Quality Car Services, Ltd.",210 N Stonestreet Avenue,,Rockville,MD,20850,(301) 340-8269,1,,,,,,,11/21/2023,11/21/2026,17-MT-000879,"210 N Stonestreet Avenue
Rockville, MD 20850
(39.087119991, -77.148180035)"
Sole Proprietorship,,B & J Enterprises,2424 East Gate Drive,,Silver Spring,MD,20906,(301) 854-6767,0,,,,,,,04/30/2024,04/30/2027,18-MT-000467,"2424 East Gate Drive
Silver Spring, MD 20906
(39.085265998, -77.050582998)"
Corporation,Karnon Motors LLC,Karnon Automotive,111 N Stonestreet Avenue,,Rockville,MD,20850,(301) 444-4410,1,,,,,,,05/31/2024,05/31/2027,15-MT-001683,"111 N Stonestreet Avenue
Rockville, MD 20850
(39.086385988, -77.147059039)"
